               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066064,            0.017948,            0.020296,              0.7221,             0.72389,             0.75456,             0.39814,            0.040361,           0.0062629,           0.0067662,             0.07006,           0.0033267,           0.0033267
                   1,            0.046358,            0.013889,           0.0052869,             0.80812,             0.77649,             0.81633,             0.46519,            0.036187,           0.0060014,           0.0041419,             0.03973,           0.0063303,           0.0063303
                   2,             0.04274,            0.013341,           0.0043882,             0.80755,              0.7203,             0.78504,             0.44682,            0.036341,           0.0062273,           0.0042393,           0.0090705,            0.009004,            0.009004
                   3,            0.040793,            0.013466,           0.0040284,             0.81804,             0.74557,             0.80207,             0.47695,            0.033919,            0.006403,            0.002046,            0.008515,            0.008515,            0.008515
                   4,             0.03783,            0.012766,           0.0033177,             0.86355,             0.83612,             0.87409,             0.54321,            0.032524,           0.0055021,           0.0024621,            0.008515,            0.008515,            0.008515
                   5,            0.035747,            0.012501,            0.002755,              0.9011,             0.85586,             0.90326,             0.56763,            0.031052,           0.0051441,           0.0011766,             0.00802,             0.00802,             0.00802
                   6,            0.034206,            0.012375,           0.0022571,             0.89282,             0.86273,                0.91,             0.57936,            0.028489,           0.0051806,           0.0014148,            0.007525,            0.007525,            0.007525
                   7,            0.033073,            0.012297,           0.0021779,             0.89617,             0.88425,             0.91901,             0.59027,            0.028653,           0.0047714,           0.0011765,             0.00703,             0.00703,             0.00703
                   8,            0.031653,            0.011727,           0.0015052,             0.92795,             0.89545,             0.92968,             0.61601,            0.026834,           0.0047424,           0.0014452,            0.006535,            0.006535,            0.006535
                   9,            0.030639,            0.011497,           0.0015112,             0.92005,             0.89719,             0.93516,             0.63394,            0.025928,           0.0046326,           0.0013477,             0.00604,             0.00604,             0.00604
                  10,            0.030133,            0.011396,           0.0013443,             0.91988,             0.89604,             0.93503,             0.64092,            0.026663,           0.0045829,          0.00081195,            0.005545,            0.005545,            0.005545
                  11,             0.02927,            0.011147,           0.0011872,             0.90063,             0.91479,             0.93785,             0.65154,            0.026121,           0.0044268,          0.00039018,             0.00505,             0.00505,             0.00505
                  12,            0.028385,            0.010868,          0.00088567,             0.91873,             0.91493,              0.9435,             0.64001,            0.025233,           0.0044638,          0.00052406,            0.004555,            0.004555,            0.004555
                  13,            0.027626,            0.010757,           0.0010317,             0.93409,             0.91062,             0.94696,              0.6659,            0.024888,           0.0043375,          0.00064065,             0.00406,             0.00406,             0.00406
                  14,             0.02698,            0.010623,          0.00087743,             0.93599,             0.92139,             0.94915,             0.67477,            0.024573,           0.0042345,          0.00059303,            0.003565,            0.003565,            0.003565
                  15,            0.026576,            0.010462,          0.00082723,             0.93272,             0.92189,             0.95595,             0.68075,            0.023797,           0.0041865,          0.00060922,             0.00307,             0.00307,             0.00307
                  16,            0.026189,            0.010291,          0.00068674,             0.93129,             0.93001,             0.95683,             0.68492,            0.023862,           0.0041177,          0.00042331,            0.002575,            0.002575,            0.002575
                  17,            0.025717,            0.010208,          0.00051418,             0.93429,             0.94629,             0.96666,             0.69366,             0.02328,           0.0040687,          0.00032059,             0.00208,             0.00208,             0.00208
                  18,            0.025257,            0.010155,          0.00045874,              0.9264,             0.94062,             0.96061,             0.69436,            0.022961,           0.0040496,          0.00025463,            0.001585,            0.001585,            0.001585
                  19,            0.024668,           0.0099838,          0.00049381,             0.94594,             0.93451,             0.96415,             0.69987,            0.022784,           0.0040352,          0.00025088,             0.00109,             0.00109,             0.00109
